,DATE,SKU,CUSTOMER,CITY,PRICE,QUANTITY,SALESPERSON
336,2021-01-21,1,584,5,0.0,8.0,4
337,2021-01-21,1,584,5,5550.0,30.0,4
338,2021-01-21,1,584,5,0.0,3.0,4
339,2021-01-21,37,486,39,15200.0,160.0,5
340,2021-01-21,30,584,5,1016.95,20.0,4
341,2021-01-21,30,584,5,0.0,4.0,4
342,2021-01-21,20,562,17,14175.0,210.0,7
343,2021-01-21,13,584,5,1020.0,60.0,4
344,2021-01-21,13,584,5,0.0,20.0,4
345,2021-01-21,13,584,5,2720.0,40.0,4
346,2021-01-21,13,584,5,0.0,8.0,4
347,2021-01-21,11,584,5,1423.73,120.0,4
348,2021-01-21,11,584,5,0.0,40.0,4
349,2021-01-21,12,584,5,4050.0,150.0,4
350,2021-01-21,12,584,5,0.0,30.0,4
351,2021-01-21,12,584,5,3160.0,40.0,4
352,2021-01-21,12,584,5,0.0,4.0,4
353,2021-01-21,30,165,42,5338.98,30.0,3
354,2021-01-21,30,165,42,0.0,3.0,3
355,2021-01-21,37,165,42,2375.0,25.0,3
356,2021-01-22,28,275,38,1500.0,25.0,1
357,2021-01-22,3,303,45,1767.0,100.0,5
358,2021-01-22,3,303,45,0.0,20.0,5
359,2021-01-22,10,275,38,2460.0,60.0,1
360,2021-01-22,10,275,38,0.0,20.0,1
361,2021-01-22,24,275,38,1260.0,90.0,1
362,2021-01-22,24,275,38,0.0,30.0,1
363,2021-01-22,16,275,38,2000.0,20.0,1
364,2021-01-22,28,414,34,650.0,10.0,7
365,2021-01-22,28,130,67,7500.0,125.0,5
366,2021-01-22,25,53,35,0.0,2.0,3
367,2021-01-22,1,303,45,23882.4,480.0,5
368,2021-01-22,1,303,45,0.0,96.0,5
369,2021-01-22,1,303,45,2418.0,200.0,5
370,2021-01-22,3,53,35,9025.0,500.0,3
371,2021-01-22,3,53,35,0.0,100.0,3
372,2021-01-22,37,155,6,7600.0,80.0,5
373,2021-01-22,25,329,16,560.0,20.0,1
374,2021-01-22,25,275,38,2700.0,100.0,1
375,2021-01-22,25,275,38,0.0,20.0,1
376,2021-01-22,28,558,40,6500.0,100.0,1
377,2021-01-22,25,130,67,560.0,20.0,5
378,2021-01-22,25,155,6,6000.0,200.0,5
379,2021-01-22,25,155,6,0.0,40.0,5
380,2021-01-22,2,269,5,165.0,3.0,4
381,2021-01-22,2,263,5,216.0,16.0,4
382,2021-01-22,2,44,55,2976.0,16.0,3
383,2021-01-22,2,44,55,0.0,2.0,3
384,2021-01-22,13,329,16,3400.0,200.0,1
385,2021-01-22,13,329,16,0.0,40.0,1
386,2021-01-22,13,303,45,9486.0,600.0,5
387,2021-01-22,13,303,45,0.0,120.0,5
388,2021-01-22,13,303,45,5059.2,80.0,5
389,2021-01-22,13,303,45,0.0,8.0,5
390,2021-01-22,11,329,16,1423.73,120.0,1
391,2021-01-22,11,329,16,0.0,40.0,1
392,2021-01-22,21,275,38,1350.0,90.0,1
393,2021-01-22,21,275,38,0.0,30.0,1
394,2021-01-22,30,53,35,0.0,1.0,3
395,2021-01-22,23,329,16,740.0,20.0,1
396,2021-01-22,23,130,67,1232.0,8.0,5
397,2021-01-22,3,329,16,2000.0,100.0,1
398,2021-01-22,3,329,16,0.0,20.0,1
399,2021-01-22,10,329,16,8100.0,180.0,1
400,2021-01-22,10,329,16,0.0,60.0,1
401,2021-01-22,12,303,45,0.0,200.0,5
402,2021-01-22,12,275,38,420.0,60.0,1
403,2021-01-22,12,275,38,0.0,20.0,1
404,2021-01-23,8,9,31,1260.0,120.0,4
405,2021-01-23,8,9,31,0.0,40.0,4
406,2021-01-23,3,9,31,2000.0,100.0,4
407,2021-01-23,3,9,31,0.0,20.0,4
408,2021-01-23,12,9,31,315.0,60.0,4
409,2021-01-23,12,9,31,0.0,20.0,4
410,2021-01-23,12,9,31,840.0,40.0,4
411,2021-01-23,12,9,31,0.0,8.0,4
412,2021-01-23,12,9,31,29600.0,400.0,4
413,2021-01-23,12,9,31,0.0,40.0,4
414,2021-01-25,1,109,35,0.0,1.0,4
415,2021-01-25,30,109,35,0.0,1.0,4
416,2021-01-25,12,109,35,0.0,1.0,4
417,2021-01-26,8,231,7,220.0,20.0,2
418,2021-01-26,10,231,7,3300.0,60.0,2
419,2021-01-26,10,231,7,0.0,20.0,2
420,2021-01-26,1,403,45,1200.0,60.0,5
421,2021-01-26,1,403,45,0.0,20.0,5
